Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Squat (Barbell)",1,120.0,11,0,0,"","",
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Squat (Barbell)",2,120.0,10,0,0,,,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Squat (Barbell)",3,120.0,10,0,0,,,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Squat (Barbell)",4,120.0,10,0,0,,,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Bulgarian Split Squat",1,25.0,6,0,0,"",,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Bulgarian Split Squat",2,25.0,6,0,0,,,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Bulgarian Split Squat",3,25.0,6,0,0,,,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Leg Extension (Machine)",1,85.0,15,0,0,"",,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Leg Extension (Machine)",2,85.0,12,0,0,,,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Leg Extension (Machine)",3,85.0,10,0,0,,,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Leg Extension (Machine)",4,55.0,9,0,0,,,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Leg Extension (Machine)",5,40.0,7,0,0,,,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Seated Leg Curl (Machine)",1,85.0,16,0,0,"",,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Seated Leg Curl (Machine)",2,100.0,15,0,0,,,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Seated Leg Curl (Machine)",3,100.0,14,0,0,,,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Seated Leg Curl (Machine)",4,70.0,10,0,0,,,
2021-09-29 09:55:00,"Evening Workout",1h 20m,"Seated Leg Curl (Machine)",5,40.0,10,0,0,,,
2021-10-01 10:51:30,"Morning Workout",1h 9m,"Bench Press (Barbell)",1,95.0,12,0,0,"","",
2021-10-01 10:51:30,"Morning Workout",1h 9m,"Bench Press (Barbell)",2,95.0,12,0,0,,,
2021-10-01 10:51:30,"Morning Workout",1h 9m,"Bench Press (Barbell)",3,95.0,10,0,0,,,
2021-10-01 10:51:30,"Morning Workout",1h 9m,"Bench Press (Barbell)",4,95.0,8,0,0,,,
2021-10-01 10:51:30,"Morning Workout",1h 9m,"Machine Incline Chest Press",1,30.0,12,0,0,"",,
2021-10-01 10:51:30,"Morning Workout",1h 9m,"Machine Incline Chest Press",2,30.0,12,0,0,,,
2021-10-01 10:51:30,"Morning Workout",1h 9m,"Machine Incline Chest Press",3,30.0,12,0,0,,,
2021-10-01 10:51:30,"Morning Workout",1h 9m,"Dumbbell Overhead Press",1,25.0,8,0,0,"",,
