id,weight,date
1,109.8,10/17/2020
2,111.8,11/15/2020
3,112.4,11/25/2020
4,112.8,12/02/2020
5,113.2,12/20/2020
6,114.8,01/12/2021
7,116.2,01/21/2021
8,116,02/08/2021
9,114.4,02/21/2021
10,116.4,03/02/2021
11,115.6,03/12/2021
12,117.2,04/16/2021
13,115,04/27/2021
14,116.4,05/05/2021
15,115.4,05/12/2021
16,111.6,06/04/2021
17,112.8,07/10/2021
18,114,07/17/2021
19,112.2,07/24/2021
20,113.4,08/03/2021
21,113.2,08/07/2021
22,113.2,08/14/2021
23,115.4,08/21/2021
24,112.2,08/28/2021
25,114.4,09/04/2021
26,114.4,09/11/2021
27,115,09/18/2021
28,117.2,09/25/2021
29,117,10/02/2021
30,117.2,10/10/2021
31,117.2,10/16/2021
32,118.6,10/23/2021
33,118.4,10/30/2021
34,119.4,11/6/2021
35,119,11/13/2021
36,119.4,11/20/2021
37,120,11/27/2021
38,120.4,12/05/2021
39,121,12/11/2021
40,122.4,12/18/2021
41,123.6,12/25/2021
42,122,01/01/2022
43,123.8,01/08/2022
44,124.6,01/15/2022
45,125,01/22/2022
46,124.2,01/29/2022
47,126.2,02/05/2022
48,127.4,02/13/2022
49,127.1,02/19/2022
50,128.3,02/26/2022
51,129.1,03/06/2022
52,129,03/12/2022
53,130.2,03/19/2022
54,130.3,03/26/2022
55,130,04/03/2022
56,131,04/09/2022
57,131.4,04/16/2022
58,131.7,04/24/2022
59,132.4,05/01/2022
60,131,05/07/2022
61,132.4,05/14/2022
62,131.6,05/21/2022
63,132.9,05/28/2022
64,132.4,06/04/2022
65,131.8,06/11/2022
66,132.1,06/18/2022
67,129.7,06/26/2022
68,130.2,07/02/0202
69,131.1,07/09/2022
70,130,07/23/2022
71,131,07/30/2022
72,128.7,08/06/2022
73,128.9,08/13/2022
74,130.2,08/20/2022
75,131,08/28/2022
76,130.8,09/18/2022
77,132.5,09/24/2022
78,132.4,10/08/2022
79,132.8,10/15/2022
80,133.8,10/22/2022
81,134,10/30/2022
82,135.5,11/05/2022
83,134.5,11/12/2022
84,134.1,11/19/2022
85,133.6,11/27/2022
86,134.6,12/10/2022
87,133.6,12/17/2022
88,133.8,12/24/2022
89,133.3,12/31/2022
90,135.6,01/07/2023
91,134.5,01/14/2023
92,135.5,01/21/2023
93,135.9,01/28/2023
94,136.6,02/04/2023
95,136.8,02/11/2023
96,135.6,02/21/2023
97,136.4,02/25/2023
98,138.6,03/04/2023
99,138.3,03/11/2023
100,138.3,03/18/2023
101,138.9,03/25/2023
102,138.8,04/01/2023
103,139.2,04/08/2023
104,141,04/15/2023
105,140.7,04/22/2023
106,140.4,04/29/2023
107,140.2,05/07/2023
108,139.3,05/13/2023
109,138.3,05/20/2023
110,137,05/27/2023
111,138.7,06/03/2023
112,139.2,06/10/2023
113,140.1,06/17/2023
114,140.5,06/24/2023
115,141.9,07/01/2023
116,141.4,07/08/2023
117,142.9,07/16/2023
118,144,07/22/2023
119,140.9,07/29/2023
120,142.4,08/05/2023
121,142.9,08/12/2023
122,142.4,08/20/2023
123,142.4,08/26/2023
124,141.8,09/02/2023
125,139.9,09/09/2023
126,140.4,09/16/2023
127,137.3,09/30/2023
128,136.7,10/07/2023
129,135.3,10/08/2023
130,135.8,10/09/2023
131,136.2,10/10/2023
132,135.6,10/11/2023
133,135.2,10/12/2023
134,135.9,10/13/2023
135,134.9,10/14/2023
136,135.3,10/15/2023
137,134.1,10/16/2023
138,134.6,10/17/2023
139,134.3,10/18/2023
140,134.7,10/19/2023
141,133.9,10/20/2023
142,133.8,10/21/2023
143,134.3,10/22/2023
144,134.5,10/23/2023
145,135.7,10/25/2023
146,135,10/26/2023
147,134,10/27/2023
148,132.7,10/29/2023
149,133.7,10/31/2023
150,133.6,11/01/2023
151,132.7,11/02/2023
152,131.7,11/03/2023
153,131.2,11/06/2023
154,132.8,11/07/2023
155,131.6,11/08/2023
156,131.9,11/09/2023
157,132.1,11/10/2023
158,129,12/02/2023
159,128.8,12/03/2023
160,129.3,12/05/2023
161,129,12/07/2023
162,129.3,12/08/2023
163,129,12/10/2023
164,128.5,12/12/2023
165,128,12/20/2023
166,108.6,02/11/2024
167,109.3,02/14/2024
168,112,02/29/2024
169,106.7,03/11/2024
170,106.7,03/17/2024
171,108.6,03/20/2024
172,110.7,03/23/2024
173,110.3,03/26/2024
174,112.2,03/27/2024
175,111.3,03/30/2024
176,113,04/03/2024
177,114.5,04/06/2024
178,115.3,04/08/2024
179,116.2,04/11/2024
180,116.2,04/15/2024
181,117.2,04/17/2024
182,116.6,04/21/2024
183,117.6,04/23/2024
184,119.2,04/26/2024
185,119.4,04/27/2024
186,119.9,04/30/2024
187,120.9,05/02/2024
188,121.9,05/05/2024
